speciality_en,speciality_ar
Allergy and Immunology (Sensitivity and Immunity),حساسيه ومناعه
Andrology and Male Infertility,ذكوره وعقم
Audiology,سمعيات
Cardiology and Thoracic Surgery (Heart and Chest),جراحه قلب وصدر
Cardiology and Vascular Disease (Heart),قلب واوعيه دمويه
Chest and Respiratory,صدر وجهاز تنفسي
Dentistry (Teeth),اسنان
Dermatology (Skin),جلديه
Diabetes and Endocrinology,سكر وغدد صماء
Diagnostic Radiology,الأشعة التشخيصيه
Dietician and Nutrition,تخسيس وتغذية
"Ear, Nose and Throat",أنف وأذن وحنجرة
Family Medicine,طب الاسره
Gastroenterology and Endoscopy,جهاز هضمي ومناظير
General Practice,ممارس عام
General Surgery,جراحه عامه
Geriatrics (Old People Health),طب المسنين
Gynaecology and Infertility,نساء وتوليد
Hematology,امراض الدم
Hepatology (Liver Doctor),امراض الكبد
Internal Medicine,باطنه
Interventional Radiology,الأشعة التداخلية
IVF and Infertility,حقن مجهرى وأطفال أنابيب
Maxillofacial Surgery,جراحه وجه و فكين
Nephrology,امراض كلى
Neurology (Brain and Nerves),مخ وأعصاب
Neurosurgery (Brain and Nerves Surgery),جراحة مخ وأعصاب
Obesity and Laparoscopic Surgery,جراحة سمنه ومناظير
Oncology (Tumor),أورام
Oncology Surgery (Tumor Surgery),جراحه اورام
Ophthalmology (Eyes),عيون
Orthopedics (Bones),عظام
Osteopathy (Osteopathic Medicine),طب تقويمى
Pain Management,علاج الآلام
Pediatric Surgery,جراحه أطفال
Pediatrics and New Born (Child),أطفال وحديثى الولاده
Phoniatrics (Speech),نطق وتخاطب
Physiotherapy and Sport Injuries,علاج طبيعى وإصابات ملاعب
Plastic Surgery,جراحة تجميل
"Psychiatry (Mental, Emotional or Behavioral Disorders)",نفسي
Rheumatology,روماتيزم
Spinal Surgery,جراحة عمود فقرى
Urology (Urinary System),مسالك بوليه
Vascular Surgery (Arteries and Vein Surgery),جراحه اوعيه دمويه